,strategy_return,benchmark_return,strategy_cumulative,benchmark_cumulative
2024-01-02,0.0,-0.0012390754700679352,1.0,0.998760924529932
2024-01-03,0.0,-0.0023020307669050777,1.0,0.9964617461528816
2024-01-04,0.0,-0.0043359200417686095,1.0,0.9921411676968815
2024-01-05,0.0,-0.002022855325213846,1.0,0.990134209652442
2024-01-08,-0.00042565761340015735,0.0035765931341930346,0.9995743423865998,0.9936755168686147
2024-01-09,0.0020134292882462157,-0.0009932320858476729,1.0015869146433403,0.9926885664623395
2024-01-10,0.002661209660786701,-0.0008158252538270627,1.0042523474167067,0.9918787060606341
2024-01-11,-0.00180993031008167,0.0019780169419955362,1.0024347206541464,0.9938406589456268
2024-01-12,-0.0014970814861340886,0.0024334635458971854,1.000933994192797,0.9962591339596013
2024-01-16,-0.008123883970254871,-0.005537258383003341,0.992802522562091,0.9907425897184399
2024-01-17,0.0007918581510034384,-0.0043257777228978556,0.9935886813319185,0.9864568574947097
2024-01-18,-0.0024490471462134678,0.002252420507843522,0.9911553358073925,0.9886787731506337
2024-01-19,0.0035497371682380874,0.004264987002851328,0.9946736767424054,0.9928954752681161
2024-01-22,-0.0016159041898242397,0.0011701948332610013,0.9930663793806495,0.994057356423243
2024-01-23,0.001143043634429436,0.0003128543464419875,0.9942014975841664,0.9943683515878126
2024-01-24,0.004481852236440431,-0.003930853020554681,0.9986573617895865,0.9904596357494296
2024-01-25,-0.0019347302882513073,0.004654940284229192,0.9967252291441471,0.9950701662077825
2024-01-26,0.00032596071066834376,-0.0009575928481114493,0.9970501224081799,0.9941172941332529
2024-01-29,-0.0026608169079823107,0.006613511064319233,0.9943971545843705,1.0006918998572343
2024-01-30,-0.0026044018719179884,0.0022174616280410675,0.991807344773541,1.0029108957466593
2024-01-31,-0.007042206425575848,-0.0011107638092799355,0.9848228327172435,1.0017968986197312
2024-02-01,-0.002957764800117113,0.009501014081955694,0.9819099584082808,1.011314985060777
2024-02-02,0.00827243518914586,-0.0030109355042056973,0.9900327449007902,1.0082699808663222
2024-02-05,0.00537160395232575,-0.005982384482536601,0.9953508087062312,1.00223812217858
2024-02-06,-0.003699862498271256,0.003803040501159316,0.991668147576475,1.006049674349031
2024-02-07,0.003073020329775661,0.0005188427891935354,0.9947155639543686,1.0065716559681375
2024-02-08,0.0020718880332631084,-0.0012759117276104626,0.9967765032278262,1.0052873593876075
2024-02-09,0.002720023669516791,-0.00020873972093621296,0.9994877589098241,1.0050775159847483
2024-02-12,0.00044132576260849654,-0.000280736877594584,0.9999288586072429,1.0047953536611702
2024-02-13,0.006318744996918757,-0.009149023435583936,1.0062471540798419,0.9956024574225583
2024-02-14,0.0006668552554307816,0.0029204266583221228,1.0069181752828023,0.9985100413803061
2024-02-15,-0.0038119990370876714,0.003712560817236865,1.003079804168198,1.0022170706355522
2024-02-16,0.0006237298023379079,-0.0016707147408502598,1.003705454936181,1.0005426518021097
2024-02-20,0.003480681275715547,-3.502447095449224e-05,1.007199033719511,1.0005076083250628
2024-02-21,-0.0016909590289845566,-0.0018242826698211256,1.0054959014194584,0.9986823996341712
2024-02-22,-0.0038513311755390967,0.006502261583145763,1.001623403707445,1.0051760938350762
2024-02-23,0.0043906835145819945,0.0051206782454658595,1.0060212150739227,1.0103232771916397
2024-02-26,1.4559635062416643e-05,-0.0025875075453770102,1.0060358623756793,1.0077090580886363
2024-02-27,-0.002677356200831593,-0.0013672853817850439,1.003342346021289,1.0063312322244193
2024-02-28,0.0022477420852603514,0.0017818817915014051,1.005597600838365,1.0081243955233392
2024-02-29,0.0015983607302856861,0.004551546662559802,1.0072049085540145,1.0127129207512287
2024-03-01,0.004404656115382238,0.00813464001822492,1.01164129981392,1.020950975803345
2024-03-04,-0.009297199365659642,0.0027662542834132053,1.0022358689630149,1.023775185813316
2024-03-05,-0.007765883319672456,0.002386194827021043,0.9944526221458576,1.0262181128657362
2024-03-06,-0.0032119676319287416,0.003815370197108675,0.9912584725120385,1.0301335148692972
2024-03-07,2.7330772998740427e-05,0.0024139185628354876,0.9912855643723338,1.0326201732830391
2024-03-08,-0.003090502812889029,0.0002812589719982661,0.9882219935472648,1.0329106069714413
2024-03-11,-0.00023510995025111114,0.0003970892582471075,0.9879896527235249,1.033320764678199
2024-03-12,0.007701477200451251,-0.0019369139254033219,0.995598632508257,1.0313193112996855
2024-03-13,-0.0012266723232840226,-0.00014123390267054003,0.9943773592206597,1.031173654048451
2024-03-14,0.005759206555743607,-0.004023350364117134,1.0001041838267664,1.027024881151967
2024-03-15,-0.0005392512213949485,-0.0023127400474922954,0.9995648764241155,1.024649639579556
2024-03-18,-0.0028686115241746664,0.0016353970015873798,0.9966975131004451,1.0263253485278019
2024-03-19,-0.0016789213652274315,0.0024532751427699118,0.9950241363510317,1.0288432069937399
2024-03-20,-0.0004256502694666986,0.004074801150451529,0.994600604059268,1.033035538477232
2024-03-21,2.6010953226934808e-05,0.0027377707401811946,0.9946264745690596,1.0358637529480423
2024-03-22,-0.002568172291202958,0.0012437846620743376,0.9920721024169744,1.037152144395958
2024-03-25,-0.001831005549575325,-0.001716537063047363,0.9902556128918701,1.035371834300083
2024-03-26,0.002164001250429759,0.0012377468655020984,0.9923985272764133,1.036653362542617
2024-03-27,0.0022790868774110185,0.006484583639375929,0.994660289737091,1.043375627977065
2024-03-28,0.0038362794382244547,0.003738382269410534,0.9984760845546278,1.0472761649250295
2024-04-01,-0.0007076848938982749,-0.001579140322380157,0.9977694781126698,1.0456223689043287
2024-04-02,0.0035200917891245187,0.00034206334380817993,1.0012817182600133,1.0459800379881967
2024-04-03,0.0007172767364946042,0.0012700792477974565,1.0019999143431986,1.047308515528056
2024-04-04,0.0033933199057007146,-0.0027103738643901865,1.0054000205980498,1.0444699178996153
2024-04-05,-0.0015119916118073728,0.003708819760178006,1.0038798642003945,1.048343668570033
2024-04-08,-0.0004377218753679455,0.0012891965541591,1.0034404440235927,1.0496951896151279
2024-04-09,-0.001331485238053931,0.0038890215563506247,1.0021043778851089,1.0537774768351384
2024-04-10,0.008240524262831894,-0.007622820934959806,1.010362243324961,1.0457447198239305
2024-04-11,0.004311187799280108,0.005783502001994928,1.0147181047012368,1.0517927865046077
2024-04-12,0.0007904626194433217,-0.0034433620337888105,1.0155202014322755,1.0481710831561448
2024-04-15,0.012171150677315168,-0.0018745359942007878,1.0278802508197653,1.0462062487326882
2024-04-16,0.0027854301831265194,-0.0014262092493411427,1.0307433394950383,1.0447141397040272
2024-04-17,-0.003977635779349009,-0.0013874657594839523,1.026643417908537,1.0432646346067391
2024-04-18,0.0031831070535486006,-0.0003509412338218165,1.029911333813561,1.0428985100286676
2024-04-19,0.002072890616918621,-0.0005071286127432684,1.0320462273536812,1.0423696263540447
2024-04-22,-0.007986526773850838,-0.004177751971295246,1.0238037625270693,1.0380148645927258
2024-04-23,-0.0046709645065435845,0.0013855906726002454,1.0190216114906396,1.0394531283071258
2024-04-24,0.0016179042975523195,-0.002172588445986501,1.020670290935169,1.0371948244504212
2024-04-25,0.003694283470930454,-0.0016502810428168646,1.0244409363202405,1.035483161493923
2024-04-26,-0.0017297510261001792,0.005605513187792677,1.0226689085594616,1.0412875760114146
2024-04-29,-0.0015483652712581482,0.00172873870925086,1.0210854435374526,1.0430876901515276
2024-04-30,-0.004665610530502212,-0.009586375639976524,1.0163214565395418,1.0330882597282995
2024-05-01,0.005114802741891217,0.003119524150362901,1.021519740312093,1.0363110035039784
2024-05-02,-7.891016367109205e-05,0.0006796844256543866,1.0214391320221918,1.0370153679531944
2024-05-03,-0.00010748500436752462,0.004772112964531949,1.0213293426326253,1.0419641224350227
2024-05-06,0.0007285447265057421,0.006463259435427915,1.022073426739226,1.0486986068807282
2024-05-07,-0.0005480187485850108,0.0013160557121828509,1.0215133113389423,1.050078752672672
2024-05-08,-0.0026605730367497415,-0.0018594562335142728,1.018795500566113,1.048126177190334
2024-05-09,0.004645089303413508,0.005650675459645316,1.0235278966481585,1.0540487980583952
2024-05-10,-8.047255685725285e-05,0.0013226724647971422,1.0234455307413004,1.0554429593801398
2024-05-13,-0.0020736606442046945,-0.0022027007299732226,1.021323252022715,1.053118134403068
2024-05-14,0.002846654797919068,0.0042068472066230655,1.0242306067583118,1.0575484414850256
2024-05-15,0.00512267871719746,0.008104285277349466,1.0294774110890548,1.0661191157494365
2024-05-16,-0.0012656494505506877,-0.0011523298987448083,1.0281744535693556,1.064890594816735
2024-05-17,0.0020558934247861815,0.0027727670806481086,1.030288270667982,1.0678432884025346
2024-05-20,-0.0011932115442545828,0.0009621962886585955,1.0290589188095107,1.0688707632515044
2024-05-21,-0.002261166373403206,0.0015263961560893213,1.026732045386048,1.070502283475888
2024-05-22,-0.003410942878146056,-0.004264336820120257,1.0232299210280742,1.065937301172439
2024-05-23,-0.000996320656904498,-0.007845596673119876,1.0222104559209912,1.057574387028606
2024-05-24,-0.0028901594438010825,0.0018499639244073107,1.019256104718259,1.0595308614919863
2024-05-28,0.005640031325927886,-0.0011376026290807473,1.0250047410780132,1.0583255363983608
2024-05-29,0.0038821163625292476,-0.005701698965291463,1.0289839287550222,1.0522912827825368
2024-05-30,-0.0011501958089547848,0.0004087438782421071,1.0278003957526862,1.0527214004025016
2024-05-31,-0.005529824506521813,0.002409352242489199,1.0221168399364402,1.055257777069278
2024-06-03,-0.0033429509501028964,0.005163323088384464,1.0186999534752585,1.0607064139138171
2024-06-04,-0.005353024878610085,0.0010539536181870812,1.0132468272804664,1.0618243492765957
2024-06-05,-0.0015342400597326278,0.008025216507913935,1.0116922634076557,1.0703457195729154
2024-06-06,0.0019454267768786726,0.0011827483890494428,1.0136604366268498,1.071611669248466
