,Multi-Agent,Buy & Hold SPY,20d Momentum
2024-01-02,0.0,-0.0055990315188723105,-0.0055990315188723105
2024-01-03,0.0,-0.00817409074110309,-0.00817409074110309
2024-01-04,0.0,-0.0032001402801219436,-0.0032001402801219436
2024-01-05,0.0,0.0013633265167007913,0.0013633265167007913
2024-01-08,-0.00042565761340015735,0.014273479874393313,0.014273479874393313
2024-01-09,0.0020134292882462157,-0.001515512351425663,-0.001515512351425663
2024-01-10,0.002661209660786701,0.005659272750927036,0.005659272750927036
2024-01-11,-0.00180993031008167,-0.0004527813712807971,-0.0004527813712807971
2024-01-12,-0.0014970814861340886,0.0006902651049420783,0.0006902651049420783
2024-01-16,-0.008123883970254871,-0.003664503890840942,-0.003664503890840942
2024-01-17,0.0007918581510034384,-0.005560243179507096,-0.005560243179507096
2024-01-18,-0.0024490471462134678,0.00889826820990347,0.00889826820990347
2024-01-19,0.0035497371682380874,0.012464149397278579,0.012464149397278579
2024-01-22,-0.0016159041898242397,0.002108581286873523,0.002108581286873523
2024-01-23,0.001143043634429436,0.002911795961742847,0.002911795961742847
2024-01-24,0.004481852236440431,0.0011019984317715004,0.0011019984317715004
2024-01-25,-0.0019347302882513073,0.005440419991955769,0.005440419991955769
2024-01-26,0.00032596071066834376,-0.001263264274886211,-0.001263264274886211
2024-01-29,-0.0026608169079823107,0.007905388312673844,0.007905388312673844
2024-01-30,-0.0026044018719179884,-0.0007738804877538419,-0.0007738804877538419
2024-01-31,-0.007042206425575848,-0.016305940469711566,-0.016305940469711566
2024-02-01,-0.002957764800117113,0.013086498563677162,0.013086498563677162
2024-02-02,0.00827243518914586,0.010522999369880326,0.010522999369880326
2024-02-05,0.00537160395232575,-0.0036374217954313615,-0.0036374217954313615
2024-02-06,-0.003699862498271256,0.002899699599465899,0.002899699599465899
2024-02-07,0.003073020329775661,0.008341133645345833,0.008341133645345833
2024-02-08,0.0020718880332631084,0.0004332040597410103,0.0004332040597410103
2024-02-09,0.002720023669516791,0.005794172835432931,0.005794172835432931
2024-02-12,0.00044132576260849654,-0.00045102300217303437,-0.00045102300217303437
2024-02-13,0.006318744996918757,-0.013762408729181996,-0.013762408729181996
2024-02-14,0.0006668552554307816,0.009088073203701752,0.009088073203701752
2024-02-15,-0.0038119990370876714,0.006883475536869854,0.006883475536869854
2024-02-16,0.0006237298023379079,-0.004973800556738128,-0.004973800556738128
2024-02-20,0.003480681275715547,-0.005492358011231602,-0.005492358011231602
2024-02-21,-0.0016909590289845566,0.0008894220824886556,0.0008894220824886556
2024-02-22,-0.0038513311755390967,0.02070718551736972,0.02070718551736972
2024-02-23,0.0043906835145819945,0.0006883845234961772,0.0006883845234961772
2024-02-26,1.4559635062416643e-05,-0.003662114314618159,-0.003662114314618159
2024-02-27,-0.002677356200831593,0.0018479408658922392,0.0018479408658922392
2024-02-28,0.0022477420852603514,-0.0013175230566535578,-0.0013175230566535578
2024-02-29,0.0015983607302856861,0.0035924497665922317,0.0035924497665922317
2024-03-01,0.004404656115382238,0.009383784658320904,0.009383784658320904
2024-03-04,-0.009297199365659642,-0.0010618901644928735,-0.0010618901644928735
2024-03-05,-0.007765883319672456,-0.009988366962172535,-0.009988366962172535
2024-03-06,-0.0032119676319287416,0.005064829821717964,0.005064829821717964
2024-03-07,2.7330772998740427e-05,0.009917355371900749,0.009917355371900749
2024-03-08,-0.003090502812889029,-0.006007744201828258,-0.006007744201828258
2024-03-11,-0.00023510995025111114,-0.0008433565591052794,-0.0008433565591052794
2024-03-12,0.007701477200451251,0.010751823790671189,0.010751823790671189
2024-03-13,-0.0012266723232840226,-0.0015707639082197522,-0.0015707639082197522
2024-03-14,0.005759206555743607,-0.001971522453450114,-0.001971522453450114
2024-03-15,-0.0005392512213949485,-0.006864075345199172,-0.006864075345199172
2024-03-18,-0.0028686115241746664,0.005947118862010825,0.005947118862010825
2024-03-19,-0.0016789213652274315,0.005552448669809085,0.005552448669809085
2024-03-20,-0.0004256502694666986,0.009236086282922162,0.009236086282922162
2024-03-21,2.6010953226934808e-05,0.003306370667768732,0.003306370667768732
2024-03-22,-0.002568172291202958,-0.0018831283469664672,-0.0018831283469664672
2024-03-25,-0.001831005549575325,-0.002771063026944076,-0.002771063026944076
2024-03-26,0.002164001250429759,-0.001852508769855321,-0.001852508769855321
2024-03-27,0.0022790868774110185,0.008410993523929822,0.008410993523929822
2024-03-28,0.0038362794382244547,-0.00019579433762784149,-0.00019579433762784149
2024-04-01,-0.0007076848938982749,-0.0017429108569637641,-0.0017429108569637641
2024-04-02,0.0035200917891245187,-0.0063560568906326775,-0.0063560568906326775
2024-04-03,0.0007172767364946042,0.0011056050226057046,0.0011056050226057046
2024-04-04,0.0033933199057007146,-0.012207387540181802,-0.012207387540181802
2024-04-05,-0.0015119916118073728,0.010441622743970758,0.010441622743970758
2024-04-08,-0.0004377218753679455,0.0005729979648692041,0.0005729979648692041
2024-04-09,-0.001331485238053931,0.0011453396524487847,0.0011453396524487847
2024-04-10,0.008240524262831894,-0.010000394492879372,-0.010000394492879372
2024-04-11,0.004311187799280108,0.00753123069873074,-0.003
2024-04-12,0.0007904626194433217,-0.013802922739227674,-0.016802922739227674
2024-04-15,0.012171150677315168,-0.012532333420224195,-0.003
2024-04-16,0.0027854301831265194,-0.0018072533809851965,-0.0
2024-04-17,-0.003977635779349009,-0.00591980796224334,-0.0
2024-04-18,0.0031831070535486006,-0.002066876765031034,-0.0
2024-04-19,0.002072890616918621,-0.008715267097303414,-0.0
2024-04-22,-0.007986526773850838,0.009205626810095291,0.0
2024-04-23,-0.0046709645065435845,0.011868402172798831,0.0
2024-04-24,0.0016179042975523195,-0.0004861842638360647,-0.0
2024-04-25,0.003694283470930454,-0.0037900283745440078,-0.0
2024-04-26,-0.0017297510261001792,0.009460256749333817,0.0
2024-04-29,-0.0015483652712581482,0.0035470998427988842,0.0
2024-04-30,-0.004665610530502212,-0.015845282564164287,-0.0
2024-05-01,0.005114802741891217,-0.003244566880930555,-0.0
2024-05-02,-7.891016367109205e-05,0.009355934979322855,0.0
2024-05-03,-0.00010748500436752462,0.012392755004766443,0.0
2024-05-06,0.0007285447265057421,0.010337780983291411,0.0
2024-05-07,-0.0005480187485850108,0.0010906206623042536,0.0
2024-05-08,-0.0026605730367497415,9.903931860932857e-05,0.0
2024-05-09,0.004645089303413508,0.00576351752822335,0.0027635175282233497
2024-05-10,-8.047255685725285e-05,0.0012996987062090515,0.0012996987062090515
2024-05-13,-0.0020736606442046945,0.00011800106200943183,0.00011800106200943183
